Order,PMID,Title,Year,AI_MAYBE_Reason,PubMed_URL,Full_Text_Verdict,Reason_Quote_From_Paper,FM_Named,Texture_Features,Per_Arm_Metrics,Modality_OK,Notes
1,34817635,Computed tomography-based deep-learning prediction of induction chemotherapy treatment response in locally advanced nasopharyngeal carcinoma.,2022,"Head-to-head ResNet50/CNN deep features (ImageNet transfer, low-tier FM) vs handcrafted radiomics with separate AUCs on same NPC cohort.",https://pubmed.ncbi.nlm.nih.gov/34817635,INCLUDE,"The study meets all inclusion criteria by directly comparing ImageNet-supervised CNN features (low-tier foundation models) with PyRadiomics-based texture features (GLCM, GLRLM, etc.) on the same cohort of human nasopharyngeal carcinoma patients using CT scans and reporting separate discrimination metrics on a shared internal testing set.","Xception, VGG16, VGG19, ResNet50, InceptionV3, and InceptionResNetV2","The PyRadiomics package was used to extract multiple texture-feature families, including GLCM, GLRLM, GLSZM, GLDM, and NGTDM. Under section ""Handcrafted radiomics features"" (Page 3): ""We derived handcrafted radiomics features using the PyRadiomics package (version 2.1.2) via an automated mode."" and ""...second-order statistics: gray level co-occurrence matrix (GLCM), gray level run length matrix (GLRLM), gray level size zone matrix (GLSZM), gray level dependence matrix (GLDM), and neighborhood gray tone difference matrix (NGTDM).""",Separate discrimination metrics are reported on the same internal testing cohort (n=89) for the pretrained CNN-only models and the handcrafted radiomics-only model.,The study is an English-language full-text article published in 2022 (online in 2021) evaluating human patients with locally advanced nasopharyngeal carcinoma using Computed Tomography (CT) scans,"The study meets all inclusion criteria by directly comparing ImageNet-supervised CNN features (low-tier foundation models) with PyRadiomics-based texture features (GLCM, GLRLM, etc.) on the same cohort of human nasopharyngeal carcinoma patients using CT scans and reporting separate discrimination metrics on a shared internal testing set."
2,35583712,Combining multiparametric MRI features-based transfer learning and clinical parameters: application of machine learning for the differentiation of uterine sarcomas from atypical leiomyomas.,2022,"Explicit transfer learning (ResNet50, ImageNet transfer, low-tier FM) vs radiomics comparison on same uterine sarcoma vs ALM cohort with separate AUCs across T2/DWI/T2-DWI/complex models.",https://pubmed.ncbi.nlm.nih.gov/35583712,INCLUDE,"he study meets all inclusion criteria by directly comparing ImageNet-supervised CNN features (low-tier foundation models) with PyRadiomics-derived texture features (GLCM, GLRLM, GLSZM, NGTDM, GLDM) on a shared internal test cohort of human patients undergoing multiparametric MRI scans, while reporting distinct, separate performance metrics for both methodologies.","""Four pretrained 2D CNNs (InceptionV3, Resnet50, Inception Resnet V2, Xception) were used to extract deep-learning features from T2WI and DWI images.""","PyRadiomics3.0 version was used to extract radiomics features of the ROI on MRI images. A total of 1288 radiomics features included the following: (1) 14 shape features, (2) 252 first-order histogram features, and (3) texture features: 308 grey level cooccurrence matrix (GLCM), 224 grey level run length matrix (GLRLM), 224 grey level size zone matrix (GLSZM), 70 neighbouring grey tone difference matrix (NGTDM), and 196 grey level dependence matrix (GLDM)","In the test set, the T2, DWI, and T2-DWI models based on transfer learning (AUCs range from 0.76 to 0.81, 0.80 to 0.88, and 0.85 to 0.92, respectively) outperformed the models based on radiomics (AUCs of 0.73, 0.76, and 0.79, respectively).",Objectives To explore the feasibility and effectiveness of machine learning (ML) based on multiparametric magnetic resonance imaging (mp-MRI) features extracted from transfer learning combined with clinical parameters to differentiate uterine sarcomas from atypical leiomyomas (ALMs).,NA
3,35810561,Prediction of lung malignancy progression and survival with machine learning based on pre-treatment FDG-PET/CT.,2022,"RSF models compare CNN deep features vs radiomics features for OS prediction on same FDG-PET/CT cohort with reportedly 'comparable' performance, but separate-arm C-indices and pretrained FM identity not specified.",https://pubmed.ncbi.nlm.nih.gov/35810561,INCLUDE,NA,"Pretrained EfficientNetB4 backbone, which serves as an ImageNet-supervised low-tier foundation model. Supporting quote: ""A convolutional neural network (CNN) with the pretrained EfficientNetB4 architecture was applied as a backbone network."" (Section: ""Deep learning model architecture"", page 3","PyRadiomics extracting ""textural features"" (which inherently comprise texture-feature families such as GLCM, GLRLM, GLSZM, NGTDM, and GLDM within the PyRadiomics framework). Supporting quote: ""Radiomics feature extraction was performed by using the PyRadiomics feature extractor on the preprocessed CT and PET data. First-order features, 2D and 3D shape features, and textural features were obtained from the extraction process."" (Section: ""Deep learning and radiomics feature extraction"", page 4-5)",Separate concordance index (C-index) metrics were reported for both the deep learning (DL-only) and radiomics-only arms on the same internal test set of 119 nodules.,"Modality: ""Computed tomography (CT) and fluorodeoxyglucose positron emission tomography (FDG-PET) are two imaging modalities that are commonly used for lung cancer diagnosis and staging. Their combined use (FDG-PET/CT) provides both anatomical and metabolic information..."" (Section: ""Introduction"", page 2).","he evaluated study successfully satisfies all inclusion criteria by utilizing an ImageNet-pretrained EfficientNetB4 low-tier foundation model, employing PyRadiomics for advanced textural feature extraction, and reporting separate C-index survival metrics for both deep learning and radiomics arms on an identical human pre-treatment FDG-PET/CT cohort from 2022."
4,35923378,Deep Radiomics-based Approach to the Diagnosis of Osteoporosis Using Hip Radiographs.,2022,"Reports separate texture-only (AUC 0.77) and deep-only (AUC 0.92) arms on same cohort, but pretrained foundation model identity not specified in abstract.",https://pubmed.ncbi.nlm.nih.gov/35923378,EXCLUDE,,FAIL-No named pretrained foundation model (nor any pretrained ImageNet backbone) was utilized in this study. The authors developed and trained all deep learning models from scratch using their own radiographic dataset.,"The PyRadiomics package was utilized to extract second-order textural features , and the specific texture-feature families—including GLCM, GLRLM, and NGTDM—were explicitly extracted and selected as detailed in Figure 2.",PASS - Separate Area Under the Receiver Operating Characteristic curve (AUC) metrics were reported on the same internal test cohort (as well as the external test cohort) for both the deep learning-only model (Model D) and the radiomics texture-only model (Model T),"PASS - The study evaluated human pelvic and hip digital radiographs (X-ray) with Dual-energy X-ray Absorptiometry (DXA) as the reference standard, was written in English, and was published in 2022.","Although the study meets the criteria for extracting advanced texture features via PyRadiomics, reporting separate per-arm test metrics, and evaluating human X-rays from 2022, it must be excluded because it does not utilize a pretrained foundation model or any pretrained ImageNet backbone (all deep convolutional networks were trained from scratch on the study's radiographs)."
5,36409398,A multidomain fusion model of radiomics and deep learning to discriminate between PDAC and AIP based on (18)F-FDG PET/CT images.,2023,"Reports separate RAD_model, DL_model, and MF_model on same PDAC vs AIP PET/CT cohort with multidomain fusion achieving best AUC 0.964, but pretrained foundation model identity not specified.",https://pubmed.ncbi.nlm.nih.gov/36409398,EXCLUDE,,"FAIL - VGG11 was used as the backbone network, but the paper does not state that it was pretrained or outline any pretraining provenance (the terms ""pre-trained"", ""pretrained"", ""ImageNet"", or ""transfer learning"" do not appear anywhere in the text). Supporting quote: ""We chose the network framework from VGG11  to extract features, which contains five blocks and the convolution layer with $3\times3$ kernel in each block. We use the VGG11 network model to train PET and CT images simultaneously to obtain high-level semantic features."" (Section: Model architecture and implementation, Page 4)  and ""The parameters of the feature extraction layer of the network were fixed, and then the linear block was adjusted to complete the binary classification task."" (Section: Model architecture and implementation, Page 5).  ","UNCLEAR - PyRadiomics was used, and 75 texture features were extracted, but the paper does not explicitly name any specific texture-feature family (GLCM, GLRLM, GLSZM, NGTDM, NGLDM) in the text. Supporting quote: ""The Pyradiomics  open-source code in python was used to extract statistical features from PET and CT images."" (Section: Model architecture and implementation, Page 4)  and ""Radiomics features include texture features (75), histogram features (18), and morphological features (9)."" (Section: Model architecture and implementation, Page 5).","PASS - Separate discrimination metrics (AUC, accuracy, sensitivity, specificity) were reported for both the deep learning-only model (DL_model) and the radiomics-only model (RAD_model) on the same cohort using 5-fold cross-validation."," PASS - The study evaluated human co-registered ${}^{18}\text{F}\text{-FDG}$ positron emission tomography/computed tomography (PET/CT) imaging, was written in English, and was published in 2022/2023. ","Although the study reported separate performance metrics for the deep learning and radiomics arms on a human PET/CT cohort from 2022/2023 using PyRadiomics, it must be excluded because it does not state whether the VGG11 backbone was pretrained or outline its pretraining provenance, nor does it explicitly name any specific texture-feature family."
6,37238180,Deep versus Handcrafted Tensor Radiomics Features: Prediction of Survival in Head and Neck Cancer Using Machine Learning and Fusion Techniques.,2023,"Explicit head-to-head deep vs handcrafted radiomics comparison on same HNC cohort with separate accuracies, but uses 3D autoencoder for deep features and pretraining scale (>=100k images) not specified.",https://pubmed.ncbi.nlm.nih.gov/37238180,EXCLUDE,,FAIL - No pretrained foundation model or ImageNet-supervised CNN backbone was utilized; the custom 3D autoencoder and 20-layer 3D CNN architectures were trained entirely from scratch on the study's dataset.,"PASS - The study utilized the SERA software package to extract handcrafted radiomics features , explicitly analyzing features derived from grey-level run-length matrices (GLRLM) and grey-level size zone matrices (GLSZM).",PASS - Separate diagnostic classification accuracies were reported on the same external test cohort (external nested testing) for the deep learning-only/CNN-only arm and the radiomics-only arm.,"The study evaluated human co-registered Computed Tomography and Positron Emission Tomography (PET/CT) scans, was written in English, and was published in 2023.","Although the study successfully employs SERA for advanced texture feature extraction, reports separate per-arm metrics on a human PET/CT cohort, and was published in 2023, it must be excluded because both the 3D CNN and 3D autoencoder models were trained entirely from scratch without utilizing any pretrained foundation model or ImageNet-supervised backbone."
7,37922655,A hybrid few-shot multiple-instance learning model predicting the aggressiveness of lymphoma in PET/CT images.,2024,"Rotation-based SSL on DeepLesion CT dataset (~32k images, below 100k threshold) combined with PET radiomics in hybrid few-shot MIL; compares against radiomics-only counterpart with separate accuracies.",https://pubmed.ncbi.nlm.nih.gov/37922655,EXCLUDE,,"FAIL-No pretrained foundation model or ImageNet-supervised backbone was utilized. The authors used a ResNet-12 backbone encoder that was initialized from scratch using He initialization and trained via self-supervised rotation learning on datasets (DeepLesion with 32,736 slices or miniImageNet with 60,000 images) containing fewer than 100,000 images.","PASS - The PyRadiomics package was utilized to extract second-order texture feature families, including Gray Level Cooccurrence Matrix (GLCM), Gray Level Run Length Matrix (GLRLM), Gray Level Size Zone Matrix (GLSZM), Neighboring Gray Tone Difference Matrix (NGTDM), and Gray Level Dependence Matrix (GLDM).","PASS - Separate discrimination metrics (Accuracy, Sensitivity, Specificity, F1-score, and AUC) were reported on the same internal cohort for both the deep learning-only arm (CNN(CT) only) and the radiomics-only arm (R(PET/CT) only) in Table 3 on Page 7","PASS - The study evaluated human pretreatment co-registered Positron Emission Tomography/Computed Tomography (PET/CT) scans of lymphoma patients, was written in English, and was published in 2024.","Although the study successfully employs PyRadiomics for advanced texture feature extraction, reports separate per-arm metrics on a human PET/CT cohort, and was published in 2024, it must be excluded because the ResNet-12 backbone was trained from scratch without utilizing any pretrained foundation model or ImageNet-supervised weights."
8,37953910,Multi-Layer Perceptron Classifier with the Proposed Combined Feature Vector of 3D CNN Features and Lung Radiomics Features for COPD Stage Classification.,2023,Reports separate 3D CNN features and PyRadiomics lung radiomics and combined MLP classifier AUCs on same COPD HRCT cohort; 3D CNN uses transfer learning but pretraining scale and foundation model identity not specified.,https://pubmed.ncbi.nlm.nih.gov/37953910,EXCLUDE,,"Med3d. Section 2.2 ""Methods"" (Page 2): ""When generating the 3D CNN features, we adopt a truncated transfer learning strategy that only intercepts the encoder backbone of the pretrained Med3d ."" and Section 2.2.2 ""3D CNN Feature Extraction"" (Page 4): ""Med3d, a heterogeneous 3D network, is used to extract general medical 3D features by building a 3DSeg-8 dataset with diverse modalities, target organs, and pathologies."" Med3D is not a named foundation model, nor does its pretraining dataset (3DSeg-8, which contains only ~2,000 3D volumetric images ) meet the required scale (>= 100,000 images) or self-supervised pretraining objectives, as it was trained via supervised multi-domain segmentation.","PyRadiomics. Section 2.2.1 ""Lung Radiomics Features Extraction"" (Page 4): ""Then, lung radiomics features of 465 subjects are extracted from the lung images by PyRadiomics . Refer to our previous study  for a more detailed description of the lung radiomics feature extraction."" While the PyRadiomics package is explicitly named, no specific texture-feature families (such as GLCM, GLRLM, GLSZM, NGTDM, NGLDM) are mentioned or quoted anywhere in the main text of the paper , making verification of this criterion impossible from the provided document alone.","PASS - Table 8 ""The MLP classifier's performance with different feature vectors in experiment 5"" (Page 11) reports separate discrimination metrics for both the DL-only and radiomics-only arms on the same 140-subject test cohort:","ASS - Modality: Computed Tomography (chest HRCT). Year: 2023. Section 2.1 ""Materials"" (Page 2): ""The 465 subjects underwent chest HRCT scans at the full inspiration state."" Title Page (Page 1): ""Journal of Healthcare Engineering, Volume 2023, Article ID 3715603... Published 3 November 2023.""","The study is excluded because the deep learning arm uses a pretrained Med3D backbone, which was trained via fully supervised semantic segmentation on a dataset of only ~2,000 3D scans and thus fails to meet the database scale or self-supervised objective requirements of a foundation model, and the main text lacks explicit documentation of the texture-feature families extracted"
9,37993801,Exploring the efficacy of multi-flavored feature extraction with radiomics and deep features for prostate cancer grading on mpMRI.,2023,"Compares five feature sets (radiomics, deep, combined) using PyRadiomics + autoencoder on PROSTATEx-2 prostate cancer cohort, but autoencoder pretrained only on 111-patient dataset (well below 100k threshold).",https://pubmed.ncbi.nlm.nih.gov/37993801,EXCLUDE,,"AIL - Custom Autoencoder. Section ""Deep feature extraction using Autoencoder"" (Page 5): ""In this study, we propose a feature extractor based on an Autoencoder for deep feature learning in computer vision applications."" and ""The proposed feature extractor, as illustrated in Fig. 3, comprises four hidden layers in the encoder, including two 2D-convolutional layers, a 2D-MaxPooling layer, and another 2D-convolutional layer."" and Section ""Deep feature extraction using Autoencoder"" (Page 6):","PASS - PyRadiomics. Section ""Radiomics feature extraction"" (Page 5): ""The images were then analyzed, and radiomics features were extracted using the Pyradiomics library, an open-source tool in Python."" and ""These extracted features were classified into seven different categories:","Table 2 ""Classification performance metrics for the five datasets using nine classifiers"" (Page 9) reports separate metrics for both the deep features arm and the radiomics features arm on the same cohort, evaluated across multiple classifiers (e.g., SVM):","PASS - Modality: Magnetic Resonance Imaging (mpMRI). Year: 2023. Title Page (Page 1): ""Exploring the efficacy of multi-flavored feature extraction with radiomics and deep features for prostate cancer grading on mpMRI"" and ""Received: 2 March 2023... Published online: 22 November 2023."""," The study is excluded because the deep learning arm uses a custom Autoencoder trained from scratch on their own dataset rather than a named pretrained foundation model or a model pretrained on $\ge100,000$ images."
10,38061942,Contrast-Enhanced CT-Based Deep Learning Radiomics Nomogram for the Survival Prediction in Gallbladder Cancer.,2024,"Builds clinical, radiomics, and DenseNet121 deep learning signatures separately then integrates them; abstract reports only integrated model AUC, individual signature performance unclear.",https://pubmed.ncbi.nlm.nih.gov/38061942,INCLUDE,,"PASS - DenseNet121 (ImageNet-supervised low-tier FM). Section ""Deep Learning Procedure"" (Page 4): ""To assess the efficacy of deep learning in predicting survival in patients with GBC, a DenseNet121 model was employed. It was pre-trained on the ILSVRC-2012 dataset to extract deep image features.""","PASS - PyRadiomics. Section ""Feature Extraction and Selection"" (Page 3): ""For feature extraction, the pyradiomics (22) software package, which adheres to the ISBI standard (23), was used."" and Section ""Radiomics Signature"" (Page 6): ""In total, 1834 handcrafted radiomic features were extracted from each segmentation, including 14 shapes, 360 first-orders, and 1460 texture features."" Specifically, Figure 3(c) (Page 7) lists the final selected texture features: ""lbp_3D_m1_glszm SmallAreaEmphasis"" (GLSZM family) and ""gradient glcm Imc2-"" (GLCM family).","PASS - Table 2 ""Specific Metric Results of Each Signature"" (Page 9) reports separate discrimination metrics for both arms on the same internal test set:","PASS - Contrast-enhanced CT, 2024. Section ""INTRODUCTION"" (Page 1): ""This study proposes an integrated model using clinical features, radiomics, and deep learning based on contrast-enhanced computed tomography (CT) images for survival prediction..."" and Title Page (Page 1): ""Acad Radiol 2024; 31:2356-2366... Published by Elsevier Inc.""","The study is included because it evaluates human contrast-enhanced CT scans from 2024, extracts GLCM and GLSZM texture features using PyRadiomics, reports separate test metrics for both baseline arms, and utilizes a qualifying low-tier foundation model (DenseNet121 pretrained on ImageNet)."
