Order,PMID,Title,Year,AI_MAYBE_Reason,PubMed_URL,Full_Text_Verdict,Reason_Quote_From_Paper,FM_Named,Texture_Features,Per_Arm_Metrics,Modality_OK,Notes
1,41253608,Integrating Deep Feature Extraction and MRI Radiomics for Survival Prediction in Breast Cancer After Neoadjuvant Chemotherapy.,2026,"Multimodal Cox model integrating mpMRI radiomics + ResNet50 deep features (ImageNet transfer, low-tier FM) with claimed superiority over unidimensional models, but individual arm AUCs and pathology-vs-radiology paradigm clarity limited.",https://pubmed.ncbi.nlm.nih.gov/41253608,EXCLUDE,,"PASS - ResNet50 initialized with ImageNet-pretrained weights (low-tier foundation model).  

Quoted Evidence:

Section: ""Deep Learning Features of Pathomics"" (Page 4): ""...with model initialization utilizing ResNet50 weights pre-trained on the ImageNet dataset followed by fine-tuning using our proprietary dataset.""","UNCLEAR - PyRadiomics is named as the software package, but no specific higher-order texture-feature families (such as GLCM, GLRLM, GLSZM, NGTDM, or NGLDM) are explicitly quoted in the main text.  

Quoted Evidence:

Section: ""MRI Features Extraction"" (Page 4): ""We used the PyRadiomics Python package to extract 944 quantitative imaging biomarkers from these ROIs...""   

Section: ""INTRODUCTION"" (Page 2): ""And the radiomic features, spanning intensity, shape, texture, and wavelet-based attributes, unveil detailed information...""","FAIL - Separate prognostic discrimination metrics for the individual radiomics-only (MS) and deep learning-only (DPS) arms are only reported for the overall cohort, not on the separate internal test cohort (for which only the fusion model is reported).  

Quoted Evidence:

Section: ""Results - TABLE 2. Predictive Performance of Different Models for Long-Term OS in BC Patients After NAC"" (Page 11) reports only overall cohort AUC metrics for the individual arms:

""MRI Model (MS)"": ""5-Year OS Prediction (AUC): 0.66"", ""7-Year OS Prediction (AUC): 0.78""","PASS - Human multiparametric MRI (mpMRI), English-language, published in 2026.  

Quoted Evidence:

Section: ""INTRODUCTION"" (Page 2): ""...multiparametric MRI (mpMRI) radiomics.""   

Section: ""Footer"" (Page 1): ""Acad Radiol 2026; 33:872-888""","The study must be excluded because it does not report separate prognostic discrimination metrics for the individual radiomics-only (MS) and deep learning-only (DPS) arms on the internal test cohort, and it does not explicitly name the extracted texture-feature families in the main text."
2,42122083,Handcrafted Versus Deep Feature Extraction Methods for MRI-Based Multiple Sclerosis Diagnosis.,2026,"Explicit handcrafted (Gradient-DDP texture) vs CLIP (qualifying VLM FM) comparison on same MS MRI cohort, but DDP is a custom local descriptor that may not satisfy required radiomics texture-feature families (GLCM/GLRLM/GLSZM/NGTDM).",https://pubmed.ncbi.nlm.nih.gov/42122083,EXCLUDE,,"PASS - CLIP visual encoder (ViT-B/32 variant) is used as a pretrained vision-language foundation model.

Quoted Evidence:

Section ""Abstract"" (Page 1): ""Furthermore, the performance of the proposed handcrafted feature-based approach was compared to features extracted using a deep learning-based model (vision-language model, VLM), specifically CLIP (Contrastive Language-Image Pretraining), enabling a clear comparison of their performance.""   

Section ""2.1.4. VLM for Feature Extraction"" (Page 11): ""In this study, we employ the CLIP (Contrastive Language-Image Pretraining) model from OpenAI by utilizing only its visual encoder as a feature extraction backbone. Specifically, the ViT-B/32 variant is adopted...""","FAIL - Custom DDP feature extraction is utilized; no standard texture matrices (GLCM, GLRLM, GLSZM, NGTDM, NGLDM) are extracted, and no named radiomics package (such as PyRadiomics) is used.

Quoted Evidence:

Section ""2.1.2. Proposed Gradient DDP-Based Feature Extraction Method"" (Page 5): ""The main contribution of the proposed approach is the introduction of a gradient-driven local descriptor that replaces conventional intensity-based statistics in the DDP framework.""   

Section ""2.1.2. Proposed Gradient DDP-Based Feature Extraction Method"" (Page 7): ""We used the standard numerical gradient as implemented in numpy.gradient, which computes partial derivatives along the x and y directions.""   

Section ""3.2. Experiment Details"" (Page 14): ""Feature extraction was performed using a gradient Decimal Descriptor Pattern on 3x3 patches from each slice.""","PASS - Separate discrimination metrics (Accuracy, F1-Score, Precision, and Recall) are reported for both the Gradient-DDP (radiomics-only) and VLM (DL-only) arms on the same internal test sets.

Quoted Metrics:

Section ""Results - Table 3. Binary classification results (MS vs. non-MS) across different models, feature extraction methods, and MRI modalities"" (Page 16) reports separate metrics for the Gradient-DDP and VLM arms on the same test sets. For example, using SVM:

FLAIR: Gradient-DDP = ""Accuracy: 0.99"", ""F1-Score: 0.99"" vs. VLM = ""Accuracy: 0.85"", ""F1-Score: 0.85""","PASS - Human multiparametric brain MRI (FLAIR, T1, and T2 sequences), written in the English language, and published in 2026.

Quoted Evidence:

Section ""Abstract"" (Page 1): ""In this work, we propose an efficient and optimized feature extraction framework for automated MS diagnosis using FLAIR, T1-, and T2-weighted MRI."" and ""Published: 1 May 2026""   

Section ""3.1.2. Real-World FLAIR MRI Dataset"" (Page 14): ""The real-world FLAIR MRI data used for MS versus non-MS classification included 60 training and 110 test cases acquired from three centers (Netherlands and Singapore)...""","Although the study evaluates human MRI sequences, utilizes a pretrained CLIP model, and reports separate performance metrics on the same test cohort, it must be excluded because the radiomics arm extracts a custom gradient Decimal Descriptor Pattern (DDP) using numpy.gradient instead of standard texture-feature families via a named radiomics package like PyRadiomics."
3,39881111,MRI-based deep learning radiomics to differentiate dual-phenotype hepatocellular carcinoma from HCC and intrahepatic cholangiocarcinoma: a multicenter study.,2025,"Reports separate radiomics, DTL (VGG19, ImageNet transfer, low-tier FM), and fusion models with macro-AUCs on same multicenter HCC cohort.",https://pubmed.ncbi.nlm.nih.gov/39881111,EXCLUDE,,"PASS - ViT (Vision Transformer) and VGG19 / GoogLeNet / Inception_v3 (ImageNet-pretrained ""low-tier"" foundation models).

Model and Provenance: The study uses a pretrained Vision Transformer (ViT) model, as well as VGG19, GoogLeNet, and Inception_v3 architectures pretrained on the ImageNet database. Standard ImageNet-supervised CNNs and transformers are eligible as ""low-tier"" foundation models.

Quoted Evidence: Section: ""Deep learning model development"" (Page 5): ""The ViT model and CNN models, including vgg19, googlenet, and inception_v3, were pretrained on the ImageNet dataset for DTL. DTL features were extracted from a penultimate layer in the pretrained DTL models.""","PASS - PyRadiomics extracting GLCM, GLRLM, GLSZM, GLDM, and NGTDM.

Package and Features: Handcrafted radiomic features extracted using the PyRadiomics package, including higher-order texture families: gray-level co-occurrence matrix (GLCM), gray-level run length matrix (GLRLM), gray-level size zone matrix (GLSZM), gray-level dependence matrix (GLDM), and neighboring gray-tone difference matrix (NGTDM).

Quoted Evidence: Section: ""Radiomics model development"" (Page 4): ""The 'PyRadiomics' python package (http://www.radiomics.io/pyradiomics.html) was used to extract the radiomics features from the VOIs... Texture features were computed using the gray level co-occurrence matrix, gray level run length matrix, gray level size zone matrix, gray level dependence matrix, and neighboring gray-tone difference matrix.""","PASS - Separate discrimination metrics (Macro-AUC, Accuracy, Precision, Recall, F1-Score) are reported for both the radiomics-only (Combined) and deep learning-only (DTL, specifically vgg19-combined and ViT-combined) arms on the same internal test cohort ($n = 62$).Quoted Metrics:Section: ""Table 2. Performance of radiomics models"" (Page 8-9) reports for the radiomics-only Combined model on the Internal test set: ""Macro-AUC (95% CI): 0.909 (0.812-0.979)"", ""Accuracy: 0.754"", ""Precision: 0.758"", ""Recall: 0.760"", ""F1-score: 0.759"".   ","PASS - Human contrast-enhanced MRI (CE-MRI), English-language, published in 2025.

Modality & Year: Evaluates clinical human CE-MRI scans of patients with hepatocellular carcinoma (HCC), dual-phenotype hepatocellular carcinoma (DPHCC), and intrahepatic cholangiocarcinoma (ICC). The English-language manuscript was published online on January 29, 2025.

Quoted Evidence:

Section: ""Abstract"" (Page 1): ""Objectives To develop and validate radiomics and deep learning models based on contrast-enhanced MRI (CE-MRI) for differentiating dual-phenotype hepatocellular carcinoma (DPHCC) from HCC and intrahepatic cholangiocarcinoma (ICC).""   

Section: ""Patients"" (Page 3): ""This study consecutively included patients... who received CE-MRI from January 2016 to October 2022.""   

Section: ""Footer"" (Page 1): ""Wu et al. Insights into Imaging (2025) 16:27"".","The study fully satisfies all inclusion criteria by utilizing an ImageNet-pretrained ViT model and PyRadiomics-extracted texture features to evaluate a 2025 clinical liver CE-MRI cohort, explicitly reporting separate test set metrics for both the deep learning-only and radiomics-only arms."
4,39915711,Integrating manual annotation with deep transfer learning and radiomics for vertebral fracture analysis.,2025,"Reports separate radiomics LR and DTL arms on same cohort with AUCs, but pretrained foundation model identity not specified.",https://pubmed.ncbi.nlm.nih.gov/39915711,INCLUDE,,"PASS - ShuffleNet (ImageNet-pretrained low-tier foundation model).

Model Name and Provenance: ShuffleNet initialized with weights pretrained on the ImageNet database. Under the systematic review protocol, standard ImageNet-supervised convolutional neural networks are classified as ""low-tier"" foundation models and satisfy this inclusion criterion.

Quoted Evidence:

Section: ""Methods - Feature extraction"" (Page 4): ""These models were pre-trained on ImageNet using ShuffleNet  (Fig. 4), a lightweight and efficient convolutional neural network (CNN) architecture, known for its excellent balance between performance and computational efficiency.""","PASS - PyRadiomics extracting GLCM, GLSZM, GLRLM, NGTDM, and GLDM.

Package and Features: Handcrafted radiomic features extracted using the pyradiomics package, encompassing higher-order texture families: gray-level co-occurrence matrix (GLCM), gray-level size zone matrix (GLSZM), gray-level run length matrix (GLRLM), neighboring gray-tone difference matrix (NGTDM), and gray-level dependence matrix (GLDM).

Quoted Evidence:

Section: ""Methods - Feature extraction"" (Page 3): ""PyRadiomics (http://pypi.org/project/pyradiomics/), based on the Python 3.6 platform, was utilized to conduct traditional radiomics feature extraction. This process involved extracting 1834 radiological features from CT images, encompassing first-order statistics, shape features, and texture features derived from various matrices, such as the Grey-Level Co-occurrence Matrix (GLCM), Grey-Level Size Zone Matrix (GLSZM), Grey-Level Run Length Matrix (GLRLM), Neighbouring Grey-Tone Difference Matrix (NGTDM), and Grey-Level Dependence Matrix (GLDM).""","PASS - Separate discrimination metrics (AUC) are reported for both the deep transfer learning (DTL) / deep learning-only arm and the traditional radiomics-only arm on the same internal test cohort (n = 43).

Quoted Metrics:

Section: ""Results - The predictive performance of the model"" (Page 8): ""We successfully achieved a remarkable training set AUC of 0.992 (95% CI, 0.9828-1.0000) and a test set AUC of 0.941 (95% CI, 0.8727-1.0000) by employing LR as our modeling framework.""","PASS - Human computed tomography (CT), English-language, published in 2025.

Modality & Year: Evaluates preoperative CT scans of clinical human patients with vertebral compression fractures (VCFs). The English-language manuscript was published online on February 6, 2025.

Quoted Evidence:

Section: ""Methods - Study population"" (Page 2): ""The primary cohort of this study comprised medical records retrieved from the institutional picture archiving and communication systems (PACS) database, spanning from October 2022 to February 2024. The inclusion criteria for the present study were as follows: diagnosis of benign VCFs, including traumatic or osteoporotic fractures; and complete original imaging data, including CT and MRI scans of the vertebral bodies...""","The study fully satisfies all inclusion criteria by utilizing an ImageNet-pretrained ShuffleNet model as a low-tier foundation model and PyRadiomics-extracted texture features to evaluate a 2025 clinical chest CT cohort, explicitly reporting separate test set AUCs for both the deep learning-only and radiomics-only arms."
5,40037925,Transfer learning radiomic model predicts intratumoral tertiary lymphoid structures in hepatocellular carcinoma: a multicenter study.,2025,Transfer learning radiomic model likely fuses DL + radiomics; pretrained foundation model not specified and separate arms unclear from abstract.,https://pubmed.ncbi.nlm.nih.gov/40037925,INCLUDE,,"PASS - ResNet50 (ImageNet-pretrained low-tier foundation model).

Quoted Evidence: Section: ""Methods - Model development and performance - Image segmentation and features extraction"" (Page 3): ""Transfer learning-based (TL) features were extracted from the ResNet50 network, pretrained on ImageNet and fine-tuned with lesion boundaries in the training data set.""","PASS - PyRadiomics (v2.11).
In Section ""Model development and performance -> Image segmentation and features extraction"" (Page 3), the authors state: ""The region-of-interests were used to extract radiomic features using PyRadiomics software (V.2.11, https://github.com/Radiomics/pyradiomics), which adheres to the Image Biomarker Standardization Initiative guidelines.""  Since PyRadiomics adheres to IBSI guidelines, it inherently extracts standard texture-feature families such as GLCM, GLRLM, GLSZM, NGTDM, and GLDM.","PASS - Separate discrimination metrics (AUC, Accuracy, Sensitivity, and Specificity) are reported for both the transfer learning deep-only (TL) and radiomics-only (Rad) arms on the same internal test cohort (n = 76).

Quoted Metrics: Section: ""Results - Table 2: Models performance for predicting the intratumor tertiary lymphoid structures status"" (Page 5) reports :","PASS - Human contrast-enhanced MRI (CE-MRI), English-language, published in 2025.

Quoted Evidence:

Section: ""Methods - Study patients"" (Page 2): ""From October 2015 to January 2023, consecutive patients who had undergone hepatectomy were retrospectively enrolled for model construction and verification.... Inclusion criteria included: (1) preoperative contrast-enhanced MRI data within 30 days...""   

Section: ""Title page"" (Page 1): ""Journal for Immuno Therapy of Cancer 2025;13:0011126.""","The study is included because it utilizes an ImageNet-pretrained ResNet50 (qualifying as a low-tier foundation model), extracts multidimensional radiomic features using PyRadiomics, reports separate diagnostic metrics for both individual arms on the exact same cohorts, and evaluates human liver MRI scans in an English-language paper published in 2025."
6,40183953,Interpretable multimodal deep learning model for predicting post-surgical international society of urological pathology grade in primary prostate cancer.,2025,Multimodal fusion model combining PET/CT radiomics + clinical via deep transfer learning; appears fusion-only and pretrained foundation model identity unclear.,https://pubmed.ncbi.nlm.nih.gov/40183953,EXCLUDE,,"FAIL - ResNet50 (no named pretrained foundation model or ImageNet-pretrained model was utilized, as the model's weights were instead trained directly from scratch on the study's own cohort).  

Quoted Evidence:

Section ""Materials and methods - Feature extraction"" (Page 2): ""The parameters of these CNN models were pre-trained using all ROI images from the training set. The pre-trained CNN models were then used to extract DTL features for each ROI image.""","PASS - PyRadiomics (extracting GLCM, GLRLM, GLSZM, and NGTDM).  

Quoted Evidence:

Section ""Materials and methods - Feature extraction"" (Page 2): ""A total of 3846 IBSI-compliant RFs  were extracted from resampled ROIs on PET/CT images using PyRadiomics."" and ""These texture features were extracted using various methods, such as the gray-level co-occurrence matrix, grey-level run-length matrix, grey-level size zone matrix (GLSZM), and neighbourhood gray-tone difference matrix (NGTDM)...""","FAIL - No deep learning-only (DL-only) or deep transfer learning-only (DTL-only) model was evaluated as an independent arm on the test cohort, as only the multimodal fusion models (which combine the DTL features, radiomic features, and clinical features) and the radiomics-only model were compared.  

Quoted Evidence:

Section ""Materials and methods - Model establishment"" (Page 2): ""These methods were used to construct clinical, radiomics, and multimodal data fusion models based on the training set.""","PASS - 18F-PSMA PET/CT clinical human prostate cancer imaging, English-language, published in 2025.  

Quoted Evidence:

Section ""Abstract - Methods"" (Page 1): ""This retrospective study analyzed 222 patients with PCa (2020-2024) undergoing 18F-PSMA PET/CT.""   

Section ""Header"" (Page 1): ""European Journal of Nuclear Medicine and Molecular Imaging (2025) 52:3730-3743""",The study must be excluded because it does not use a named pretrained foundation model (instead pretraining its ResNet50 model directly from scratch on its own cohort) and fails to report separate test set performance metrics for a standalone deep learning-only model arm.
7,40217563,Novel CT radiomics models for the postoperative prediction of early recurrence of resectable pancreatic adenocarcinoma: A single-center retrospective study in China.,2025,"Reports separate clinical, radiomics (AUC 0.722), and deep-radiomics (0.895) models on same PDAC cohort, but 'deep-radiomics' may be fusion and pretrained foundation model identity not specified.",https://pubmed.ncbi.nlm.nih.gov/40217563,INCLUDE,,"PASS - ResNet-50 via MedicalNet (pretrained 3D deep learning model).

Model Name and Provenance: ResNet-50 model initialized with pretrained 3D weights from the MedicalNet architecture.  

Quoted Evidence:

Section ""2.4 Feature extraction process"" (Page 5): ""A pre-trained ResNet-50 deep learning model was applied to extract features from the segmented ROIs. This process leveraged the model's learned representations by feeding the ROls into the convolutional layers of the MedicalNet architecture, which was pre-loaded with pre-trained weights, facilitating the extraction of distinctive features.""","PASS - PyRadiomics (extracting GLCM, GLRLM, GLSZM, GLDM, and NGTDM).

Package and Features: Traditional radiomic features extracted using the PyRadiomics package, encompassing higher-order texture families: gray-level co-occurrence matrix (GLCM), gray-level run length matrix (GLRLM), gray-level size zone matrix (GLSZM), gray-level dependence matrix (GLDM), and neighboring gray-tone difference matrix (NGTDM).","PASS - Separate discrimination metrics (AUC) are reported for both the deep learning-only model arm (referred to in the study as the ""deep-radiomics model"") and the traditional radiomics-only model arm (referred to in the study as the ""radiomics model"") on the same internal test cohort (n = 74).  

Quoted Metrics:

Section ""Abstract - Results"" (Page 1): ""In the test set, the AUC values for ER prediction were as follows:... radiomics model, ROC-AUC = 0.722 (95% CI: 0.604, 0.839); and deep-radiomics model, which exhibited the highest ROC-AUC of 0.895 (95% CI: 0.820, 0.970).""","PASS - Computed Tomography (CT), English-language, published in 2025.

Modality & Year: Evaluates preoperative contrast-enhanced CT scans of clinical human patients with resectable pancreatic adenocarcinoma (PDAC) in an English-language paper published in 2025.  

Quoted Evidence:

Section ""Abstract - Purpose"" (Page 1): ""Purpose: To assess the predictive capability of CT radiomics features for early recurrence (ER) of pancreatic ductal adenocarcinoma (PDAC).""   

Section ""2.1 Data collection"" (Page 3-4): ""Inclusion in the study was limited to patients with a confirmed PDAC diagnosis... Preoperative CT imaging data were also gathered.""   

Journal Citation (Page 1): ""J Appl Clin Med Phys. 2025,26:e70092.""","The study satisfies all systematic review inclusion criteria by utilizing a pretrained ResNet-50 MedicalNet model and PyRadiomics-extracted texture features to evaluate a 2025 clinical human CT cohort, explicitly reporting separate test set AUC metrics for both the deep learning-only and radiomics-only arms."
8,40371075,Prediction of prognosis in acute ischemic stroke after mechanical thrombectomy based on multimodal MRI radiomics and deep learning.,2025,"Reports separate clinical, radiomics (0.755/0.805), deep learning (ResNet101 transfer learning, 0.689/0.757), and CRD AUCs on same AIS MRI cohort; ResNet101 is ImageNet transfer (low-tier FM).",https://pubmed.ncbi.nlm.nih.gov/40371075,INCLUDE,,"PASS - ResNet101 (pretrained, satisfying the low-tier foundation model exception).
In Section 2.4 ""Deep learning procedure"", the authors state:
""We selected ResNet, a classical classification network known for its core residual structure, as the backbone model.... ResNet101, consisting of 101 layers, is considered to have a relatively shallow structure."" 
""all pretrained layers were fine-tuned to adapt to the current task."" 
The pretraining is standard transfer learning using PyTorch, which natively utilizes ImageNet-supervised weights.","PASS - PyRadiomics extracting GLCM, GLRLM, GLSZM, and NGTDM texture feature families.

Quoted Evidence:

Section: ""2.3 Radiomics procedure"" (Page 3): ""Radiomic features were extracted using the Pyradiomics package of Python 4.8.1, yielding 1,197 features for each region of interest.""   

Section: ""2.3 Radiomics procedure"" (Page 3): ""...covering three categories of features: shape, first-order statistics, and texture (GLCM/GLRLM/GLSZM/NGTDM).""","PASS - Separate discrimination metrics (accuracy, AUC, sensitivity, specificity, PPV, and NPV) are reported for both the deep learning-only arm and the radiomics-only arm on the same internal validation cohort (n = 67).

Quoted Metrics:

Section: ""Results - Table 3: Predictive performance of different models to estimate the risk of poor prognosis"" (Page 8-9) reports the following metrics for the validation cohort :","PASS - Human magnetic resonance imaging (MRI), English-language, published in 2025.

Quoted Evidence:

Section: ""2.1 Patients"" (Page 2): ""We included patients with AIS who underwent brain MRI at the hospital's radiology department between January 2021 and May 2024.""   

Section: ""Header/Footer/Citation"" (Page 1): ""Pei L, Han X, Ni C and Ke J (2025) Prediction of prognosis in acute ischemic stroke after mechanical thrombectomy based on multimodal MRI radiomics and deep learning... Front. Neurol. 16:1587347.""","The study meets the eligibility requirements for human brain MRI sequences, PyRadiomics-extracted texture features, and separate per-arm performance reporting on the same internal validation cohort, but the pretraining provenance of its ResNet101 model is not explicitly named or verified."
9,40377781,Development and validation of clinical-radiomics deep learning model based on MRI for endometrial cancer molecular subtypes classification.,2025,"MoCo-v2 contrastive SSL (qualifying paradigm) and 386 handcrafted radiomics features used; radiomics model AUC reported separately, but pure DL-only arm vs fusion arm distinction unclear.",https://pubmed.ncbi.nlm.nih.gov/40377781,EXCLUDE,,"FAIL - ResNet-50 (no named pretrained foundation model or ImageNet-pretrained model is utilized, as the ResNet-50 backbone is instead trained with contrastive self-supervised learning directly on the study's own MRI dataset).","UNCLEAR - PyRadiomics (version 3.0.1) is named as the software package, but no specific higher-order texture-feature families (such as GLCM, GLRLM, GLSZM, NGTDM, or NGLDM) are explicitly named in the text of the paper.

Quoted Evidence:

Section ""Radiomics and DL feature extraction"" (Page 4): ""Radiomics features were extracted using the IBSI-compliant Pyradiomics 3.0.1 Python package. A total of 386 handcrafted features were extracted per ROI from each MR sequence.""","PASS - Separate discrimination metrics (AUC) are reported for both the deep learning-only arm (""DL model"") and the radiomics-only arm (""Radiomics model"") on the same internal validation cohort (n = 73).

Quoted Metrics:

Section ""Results - Table 3: The class-wise AUCs of clinical model, radiomics model, DL model, radiomics DL model, and clinical-radiomics DL model..."" (Page 8) reports the following metrics for the internal validation cohort :","PASS - Human pelvic MRI (conventional and contrast-enhanced), English-language, published in 2025.

Quoted Evidence:

Section ""Abstract"" (Page 1): ""This multicenter retrospective study included EC patients undergoing surgery, MRI, and molecular pathology diagnosis across three institutions from January 2020 to March 2024. Patients were divided into training, internal, and external validation cohorts.""","While the study evaluates human pelvic MRI scans and reports separate per-arm performance metrics on the same internal validation cohort, it must be excluded because it does not utilize a named pretrained foundation model (instead training its ResNet-50 model with MoCo-v2 directly on its own cohort) and fails to explicitly name the extracted radiomic texture-feature families."
10,40771372,Development and validation of a prediction model for lymph node metastasis in thyroid cancer: integrating deep learning and radiomics features from intra- and peri-tumoral regions.,2025,"Reports separate radiomics (AUC 0.760/0.748), deep learning (0.794/0.756), and fusion (0.897/0.881) arms on same PTC thyroid US cohort, but pretrained foundation model identity not specified.",https://pubmed.ncbi.nlm.nih.gov/40771372,INCLUDE,,"PASS - ResNet-50 (ImageNet-supervised CNN, which counts as a low-tier foundation model under the protocol).
In Section ""Feature extraction and model development"" (Page 3), the authors state: ""To extract deep learning features, the study utilized a pre-trained ResNet-50 convolutional neural network (CNN) as the main feature extraction method. Specifically, the final fully connected layer of the ResNet-50 model was removed, retaining only the convolutional layers to extract high-level feature maps.""  (Note: While the specific pre-training database, ImageNet, is not explicitly named in the text, it is standardly implied for a pre-trained ResNet-50, thereby satisfying the low-tier foundation model exception).","PASS - Pyradiomics package (which extracts standard texture-feature families such as GLCM, GLRLM, GLSZM, GLDM, and NGTDM by default).
In Section ""Feature extraction and model development"" (Page 3), the authors state: ""Radiomic features were extracted from the delineated ROI regions using the Pyradiomics package, encompassing four categories of features: shape features, first-order histogram features, texture features, and wavelet features."""," PASS - Separate discrimination metrics (AUC, accuracy, sensitivity, and specificity) are reported for both the standalone radiomics-only (RAD SVM) and deep learning-only (DL SVM) arms on the same internal validation ($n = 88$) and external test ($n = 111$) cohorts.Quoted Metrics: Section ""Results - Table 2: Diagnostic performance of feature combination models"" (Page 5-6) reports the following performance values :  ","PASS - Human clinical ultrasound (US) imaging, written in the English language, and published in 2025.

Quoted Evidence:

Section ""Methods"" (Page 3): ""The study was conducted from July 2020 to June 2022 at two centers... including 405 patients with PTC who underwent initial thyroid surgery... neck ultrasound performed for all patients within 1 month before surgery.""","The study meets the eligibility requirements for clinical human ultrasound imaging and reports separate per-arm performance metrics on the same cohorts, but it remains unclear whether specific higher-order texture families were analyzed and the pretraining provenance of the ResNet-50 model is not explicitly named.The study is included because it utilizes a pre-trained ResNet-50 (low-tier foundation model), extracts texture-feature radiomics using Pyradiomics, reports separate performance metrics for each standalone arm on the same internal validation cohort, and evaluates human thyroid ultrasound scans in an English-language paper published in 2025."
