Order,PMID,Short_Ref,CLAIM_01,CLAIM_02,CLAIM_03,CLAIM_04,CLAIM_05,CLAIM_06,CLAIM_07,CLAIM_08,CLAIM_09,CLAIM_10,CLAIM_11,CLAIM_12,CLAIM_13,CLAIM_14,CLAIM_15,CLAIM_16,CLAIM_17,CLAIM_18,CLAIM_19,CLAIM_20,CLAIM_21,CLAIM_22,CLAIM_23,CLAIM_24,CLAIM_25,CLAIM_26,CLAIM_27,CLAIM_28,CLAIM_29,CLAIM_30,CLAIM_31,CLAIM_32,CLAIM_33,CLAIM_34,CLAIM_35,CLAIM_36,CLAIM_37,CLAIM_38,CLAIM_39,CLAIM_40,CLAIM_41,CLAIM_42,CLAIM_Yes_n,CLAIM_No_n,CLAIM_NA_n,CLAIM_Pct_Reported,CLAIM_Notes
1,41944974,Medical image pretraining-based transfer learning for genera...,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,37,4,1,90.2,Multicentre external test (3 centres). Param counts not given for InceptionV3 (CLAIM-19). Ref-standard reader blinding not explicit (CLAIM-17). Bounding-box perturbation + stratified error analysis = strong robustness reporting. No preregistration.
2,39412688,One novel transfer learning-based CLIP model combined with s...,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,NA,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,32,9,1,78.0,"Random 7:3 split across pooled 3-centre data rather than centre-held-out test (CLAIM-31 borderline Y). No DL augmentation described (CLAIM-22). No formal subgroup, robustness or failure-case analysis. Pathologist blinding not stated."
3,41663975,Noninvasive preoperative risk stratification of prostate can...,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,NA,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,34,7,1,82.9,Single-centre 5-fold patient-level CV; NO external test cohort (CLAIM-31 N). DL software/library not stated (CLAIM-20). Pathologists explicitly blinded to imaging and model outputs (CLAIM-17 Y). No subgroup or failure analysis.
4,40605934,End-to-end prediction of clinical outcomes in head and neck ...,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,N,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,38,2,2,95.0,"Strongest reporting in this batch. Three external TCIA test cohorts; HPV- and contrast subgroup analyses; bootstrap CIs; permutation tests. CLAIM-17 marked NA (clinical-outcome reference standard, blinding less applicable). Param counts incomplete."
5,34817635,Computed tomography-based deep-learning prediction of induct...,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,NA,Y,Y,Y,N,N,Y,N,Y,Y,Y,N,N,N,Y,Y,Y,N,N,30,11,1,73.2,"Single-centre 7:3 internal split only (CLAIM-31 N). AUC point estimates without 95% CIs in main tables (CLAIM-28, 35 N). No funding statement (CLAIM-42 N). ICC test-retest used for feature robustness. ImageNet transfer learning, no domain-specific FM."
6,35583712,Combining multiparametric MRI features-based transfer learni...,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,NA,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,29,12,1,70.7,Dai 2022 uterine sarcoma: No external test set; ImageNet-pretrained CNNs used for TL (item 25 Y); no CIs reported; reader blinding to path Y but not to predictors explicitly (scorer reported 27/14/1 -> 65.9; recomputed from per-item string as 29/12/1 -> 70.7)
7,35810561,Prediction of lung malignancy progression and survival with ...,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,37,5,0,88.1,Huang 2022 lung PET/CT: Strong overall; multi-institutional; ComBAT harmonisation; CIs via bootstrap; Grad-CAM failure visualisation; test-set independence from ImageNet pretraining not explicitly addressed (item 31 N) (aggregate matches per-item string)
8,38061942,Contrast-Enhanced CT-Based Deep Learning Radiomics Nomogram ...,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,NA,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,30,11,1,73.2,Meng 2024 GBC CT: Two-centre split as train/test (no true external); DenseNet121 ImageNet-pretrained; no external validation; reader blinding to outcome not stated; depth/params not given (scorer reported 28/13/1 -> 68.3; recomputed from per-item string as 30/11/1 -> 73.2)
9,38343220,An MRI-Based Deep Transfer Learning Radiomics Nomogram to Pr...,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,NA,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,30,11,1,73.2,Duan 2024 meningioma Ki-67: Single-centre; ResNet50 fine-tuned (item 25 Y); test set internal random split; no external validation; no CIs on metrics beyond AUC; limited failure analysis (scorer reported 28/13/1 -> 68.3; recomputed from per-item string as 30/11/1 -> 73.2)
10,40386715,Integrating radiomics and deep learning for enhanced predict...,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,35,6,1,85.4,Chen 2025 lung HGP: Single-centre but temporal test split; ResNet101 ImageNet-pretrained; Grad-CAM in supplement; auto-seg VNet improves automation; no external validation; CIs reported (scorer reported 33/8/1 -> 80.5; recomputed from per-item string as 35/6/1 -> 85.4)
11,39915711,Integrating manual annotation with deep transfer learning an...,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,Y,N,Y,Y,N,Y,NA,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,29,12,1,70.7,"Wang 2025 VCF. ShuffleNet ImageNet-pretrained (25 Y). Single-center retrospective, no external test. 11 N random split only. 12 N missing-data. 13 N de-id not stated. 17 N blinding unclear. 19 N depth/params absent. 22 N augmentation absent. 24 NA. 29/30 N. 31 N FM-pretraining overlap not addressed. 41 N no registration. (scorer reported 26/15/1 -> 63.4; recomputed from per-item string)"
