Sample_ID,Stratum,PMID,Title,AI_Verdict,Human_Verdict_PreFilled,Human_Verdict_NEW,AI_Reason,PubMed_URL
1,AI-INCLUDE,41944974,Medical image pretraining-based transfer learning for generalizable and robust d,INCLUDE,CONFIRMED INCLUDE,,Head-to-head comparison of RadImageNet-pretrained ResNet50 (qualifying FM) vs ImageNet-pretrained DL vs ElasticNet radio,https://pubmed.ncbi.nlm.nih.gov/41944974
2,AI-INCLUDE,39412688,One novel transfer learning-based CLIP model combined with self-attention mechan,INCLUDE,CONFIRMED INCLUDE,,CLIP-adapter (CLIP is a qualifying VLM foundation model pretrained on 400M image-text pairs) compared head-to-head again,https://pubmed.ncbi.nlm.nih.gov/39412688
3,AI-INCLUDE,39974018,End-to-end prediction of clinical outcomes in head and neck squamous cell carcin,INCLUDE,EXCLUDE,,Explicit FM-based MIL vs handcrafted radiomics head-to-head comparison on 2485-patient HNSCC CT cohort with separate AUR,https://pubmed.ncbi.nlm.nih.gov/39974018
4,AI-INCLUDE,40020550,Automated classification of oral cancer lesions: Vision transformers vs radiomic,INCLUDE,EXCLUDE,,Explicit 'Vision transformers vs radiomics' head-to-head comparison using pretrained ViT/DETR/SAM (qualifying FMs) vs Py,https://pubmed.ncbi.nlm.nih.gov/40020550
5,AI-INCLUDE,41663975,Noninvasive preoperative risk stratification of prostate cancer via a foundation,INCLUDE,INCLUDE,,HIGH-confidence Claude.ai pre-screen: BiomedCLIP and MedSAM (named FMs) head-to-head against conventional radiomics on P,https://pubmed.ncbi.nlm.nih.gov/41663975
6,AI-EXCLUDE,36702038,Histogram of Oriented Gradients meet deep learning: A novel multi-task deep netw,EXCLUDE,,EXCLUDE,Multi-task deep network for surgical image semantic segmentation using HOG as auxiliary pseudo-labels; not a clinical pr,https://pubmed.ncbi.nlm.nih.gov/36702038
7,AI-EXCLUDE,39896390,Hybrid transformer-CNN and LSTM model for lung disease segmentation and classifi,EXCLUDE,,EXCLUDE,Custom hybrid LinkNet–LSTM/transformer-CNN architecture for segmentation/classification; no qualifying pretrained founda,https://pubmed.ncbi.nlm.nih.gov/39896390
8,AI-EXCLUDE,36819269,Deep learning attention-guided radiomics for COVID-19 chest radiograph classific,EXCLUDE,,EXCLUDE,Custom deformable CNN (not a qualifying large-scale pretrained foundation model) with fusion-only comparison against DLR,https://pubmed.ncbi.nlm.nih.gov/36819269
9,AI-EXCLUDE,36976511,A Novel Deep-Learning-Based CADx Architecture for Classification of Thyroid Nodu,EXCLUDE,,EXCLUDE,Custom CADx that combines pretrained deep features with morphological/texture features into single classifier; no head-t,https://pubmed.ncbi.nlm.nih.gov/36976511
10,AI-EXCLUDE,41030436,Integrating deep learning features from mammography with SHAP values for a machi,EXCLUDE,,EXCLUDE,Only GBM model AUC reported; abstract conflates 'mammographic' and 'deep learning' features and provides no separate rad,https://pubmed.ncbi.nlm.nih.gov/41030436
