Order,PMID,Short_Ref,D1_1_DataSource,D1_2_InclExcl,D2_1_PredictorDef,D2_2_PredictorBlind,D2_3_Availability,D3_1_Outcome,D3_2_OutcomeDef,D3_3_OutcomeExcl,D3_4_OutcomeUniform,D3_5_OutcomeBlind,D3_6_Timing,D4_1_Events,D4_2_Predictors,D4_3_Inclusion,D4_4_Missing,D4_5_UnivAvoided,D4_6_Complexities,D4_7_PerfMeasures,D4_8_Optimism,D4_9_FinalModel,D1_ROB,D2_ROB,D3_ROB,D4_ROB,D1_Appl,D2_Appl,D3_Appl,Overall_ROB,Overall_Applicability,PROBAST_Notes
1,41944974,Medical image pretraining-based transfer learning for genera...,Y,Y,PY,PY,Y,Y,Y,Y,PY,Y,Y,PY,Y,Y,PY,Y,Y,N,Y,Y,Low,Low,Low,High,Low,Low,Low,High,Low,"No calibration assessed (discrimination/AUC only); strong external validation (n=1867, 3 centers) and pathology gold standard; class-imbalance driven PPV drop externally (40.8%) flagged but not impacting ROB."
2,39412688,One novel transfer learning-based CLIP model combined with s...,Y,PY,PY,PY,Y,Y,Y,Y,PY,Y,Y,PY,Y,Y,NI,Y,PY,N,N,Y,Low,Low,Low,High,Low,Low,Low,High,Low,"No calibration; no external validation (single 7:3 random split across 3 centers, no held-out site); manual ROI segmentation with ICC check; small sample (n=207); PCA used but overfitting/optimism not formally quantified."
3,41663975,Noninvasive preoperative risk stratification of prostate can...,Y,PY,PY,PY,Y,Y,Y,Y,PY,Y,Y,Y,Y,Y,NI,Y,Y,PN,Y,Y,Low,Low,Low,High,Low,Low,Low,High,Low,Single-center retrospective; no external validation (5-fold CV only); calibration not formally assessed though DCA reported; surgical-cohort spectrum bias acknowledged; manual ROI; class imbalance (77% GG3-5) handled with weighting.
4,40605934,End-to-end prediction of clinical outcomes in head and neck ...,Y,Y,Y,PY,Y,Y,Y,Y,PY,Y,Y,PY,Y,PY,PY,Y,Y,PN,Y,Y,Low,Low,Low,High,Low,Low,Low,High,Low,"Strong multi-cohort external validation (3 test cohorts: RADCURE-test, HN1, HN-PET-CT); no calibration assessment (AUROC/KM/HR only); dichotomization of time-to-event at 2y discards censoring info; significant cohort heterogeneity acknowledged."
5,34817635,Computed tomography-based deep-learning prediction of induct...,Y,PY,PY,PY,Y,Y,Y,Y,PY,Y,Y,PY,Y,Y,NI,N,N,N,Y,Y,Low,Low,Low,High,Low,Low,Low,High,Low,Single-center retrospective with internal random 7:3 split (no external validation); univariable filtering used for feature selection (4.5 violated); no calibration plots reported separately from ROC; manual ROI; ComBat harmonization applied. NOTE: scorer's note says 4.5 was violated (univariable used) but signaling Q D4.5 was marked Y; the note implies it should be N — flagged for review. [D4.5 corrected from Y to N on review to match the notes statement; univariable filtering was used so univariable was NOT avoided.]
6,35583712,Combining multiparametric MRI features-based transfer learni...,PY,PN,Y,Y,Y,Y,Y,Y,Y,Y,PY,PN,PY,Y,NI,Y,Y,PN,PN,Y,High,Low,Low,High,Low,Low,Low,High,Low,Dai 2022 uterine sarcoma: 1:1 matched case-control sampling of ALMs from larger pool; no calibration metrics reported; low EPV (~4) for complex mp model; single-center; no external validation. FIRST PAPER IN CORPUS WITH D1=High (case-control selection bias flag).
7,35810561,Prediction of lung malignancy progression and survival with ...,Y,Y,PY,NI,Y,Y,PY,Y,Y,Y,PY,Y,Y,Y,PY,Y,Y,PY,PY,Y,Low,Unclear,Low,Low,Low,Low,Low,Unclear,Low,Huang 2022 lung PET/CT: Multicenter retrospective; small test set (n=119); no formal calibration plots (IBS only); segmenter blinding to outcome not explicitly stated; no external/prospective validation. FIRST PAPER IN CORPUS WITH D4=Low ROB (ensemble RSF + bootstrap CIs + IBS calibration metric). Overall=Unclear driven solely by D2.2 NI.
8,38061942,Contrast-Enhanced CT-Based Deep Learning Radiomics Nomogram ...,PY,Y,PY,NI,Y,Y,Y,Y,Y,Y,Y,PY,PY,Y,PY,PN,PY,Y,PY,Y,Low,Unclear,Low,High,Low,Low,Low,High,Low,Meng 2024 GBC: Univariate p<0.05 filtering for clinical features (PROBAST violation); small sample (n=167) and test set (n=62); 2D-only DTL features; segmenter blinding to outcome unclear.
9,38343220,An MRI-Based Deep Transfer Learning Radiomics Nomogram to Pr...,PY,Y,PY,NI,Y,Y,PY,Y,Y,Y,Y,PY,PY,Y,NI,PN,Y,Y,PY,Y,Low,Unclear,Low,High,Low,Low,Low,High,Low,"Duan 2024 meningioma Ki-67: Univariate selection for clinical features; mixed 1.5T/3T scanners across vendors; single-center, no external validation; reader blinding to Ki-67 outcome not stated; missing data handling not described."
10,40386715,Integrating radiomics and deep learning for enhanced predict...,PY,Y,PY,Y,Y,Y,PY,Y,Y,Y,Y,PY,PY,Y,NI,PN,Y,Y,PY,Y,Low,Low,Low,High,Low,Low,Low,High,Low,"Chen 2025 lung HGP: Single-center; t-test univariate pre-screening before LASSO (PROBAST flags this); temporal-only test set, no true external center; HGP >=5% cutoff differs from IASLC >=20%; EPV ~5 in training is marginal."
11,39915711,Integrating manual annotation with deep transfer learning an...,PY,Y,PY,NI,Y,Y,Y,Y,Y,NI,Y,PN,PY,Y,PY,Y,Y,PN,PN,Y,Low,Unclear,Unclear,High,Low,Low,Low,High,Low,"Wang 2025 VCF: D4 High driven by very low EPV (38 chronic in train, 9 in test) vs 28 radiomic/18 DTL features; no calibration; single-center, no external validation. D3 Unclear (D3.5 outcome-blinding NI). D2 Unclear (D2.2 predictor-blinding NI)."
12,40217563,Novel CT radiomics models for the postoperative prediction o...,PY,Y,PY,NI,Y,Y,Y,Y,Y,NI,Y,PY,PY,Y,PY,PN,PY,Y,PN,Y,Low,Unclear,Unclear,High,Low,Low,Low,High,Low,Du 2025 PDAC: D4 High via D4.5 PN (univariable preselection + forward stepwise in clinical arm) and D4.8 PN (no external validation); D4.7 Y because calibration curves shown (Figure 6). D2/D3 Unclear (NI on predictor and outcome blinding). MedicalNet domain-pretrained FM.
13,40771387,Integrating multimodal ultrasound imaging for improved radio...,Y,Y,PY,PY,Y,Y,Y,Y,Y,PY,Y,Y,Y,PY,PY,Y,Y,PN,Y,Y,Low,Low,Low,High,Low,Low,Low,High,Low,"Yang 2025 breast SLN US: D4 High driven SOLELY by absent calibration analysis (4.7 PN); otherwise methodologically robust -- two-center, external validation, 5-fold CV, LASSO without univariable preselection. If calibration had been reported, this paper would be Overall ROB = Low (first in corpus)."
14,37495426,Development and Validation of a Feature-Based Broad-Learning...,Y,Y,PN,Y,Y,Y,Y,Y,Y,Y,Y,Y,PY,Y,PY,PY,Y,PN,PY,Y,Low,High,Low,High,Low,Low,Low,High,Low,"Zhang 2024 osteoporosis BLS: D2 High (FIRST D2=HIGH IN CORPUS): D2.1 PN -- train Philips DR vs test Siemens DR, predictors not assessed similarly across participants. D4 High: no calibration; SMOTE risks. The cross-vendor train/test design causes the D2 High flag."
15,38622546,Ultrasound-based deep learning radiomics model for different...,PN,PY,PY,Y,Y,Y,Y,Y,Y,PY,Y,PN,Y,PY,PY,PN,PY,PN,PN,Y,High,Low,Low,High,Low,Low,Low,High,Low,Du 2024 ovarian 3-class: D1 High: 478/1413 (34%) excluded for 'poor image quality' -> severe selection bias; clean-image surgical-pathology cohort doesn't match intended screening population. D4 High: BOT class n=44 train/11 test vs 53 features; univariable t/MWU preselection; no calibration. Applicability stays Low because clinical question is relevant.
16,38796795,Deep learning nomogram for predicting neoadjuvant chemothera...,PY,Y,PY,NI,Y,Y,Y,Y,Y,Y,Y,PY,Y,Y,PY,PY,PY,Y,Y,Y,Low,Unclear,Low,Low,Low,Low,Low,Unclear,Low,PMID 38796795 Zhang gastric NAC: segmenter blinding to TRG not explicitly stated (D2.2=NI); multi-center with external validation; calibration+HL+DCA reported; class imbalance handled via Borderline-SMOTE. D4=LOW ROB (2nd in corpus). Overall=Unclear only because of D2.2 NI.
17,38871552,Multi-feature Fusion Network on Gray Scale Ultrasonography: ...,PY,Y,PY,NI,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,PY,PY,PY,Y,Y,Y,Low,Unclear,Low,Low,Low,Low,Low,Unclear,Low,PMID 38871552 Mao parotid: segmenter blinding to histology not stated (D2.2=NI); multi-center external validation; calibration (HL) and DCA reported; multiple US vendors but harmonized. D4=LOW ROB (3rd in corpus). Overall=Unclear only because of D2.2 NI.
18,38939344,Multiparametric MRI-based radiomics approach with deep trans...,PY,Y,PY,Y,Y,Y,PY,Y,Y,Y,Y,PY,Y,Y,PY,PN,PY,PN,PY,Y,Low,Low,Low,High,Low,Low,Low,High,Low,"PMID 38939344 Lin SNSCC Ki-67: no calibration curve (D4.7=PN); univariate p<0.10 pre-screen of clinical predictors (D4.5=PN); single-center, no external validation."
19,39060962,Ultrasound-based deep learning radiomics nomogram for differ...,PY,Y,PY,Y,Y,Y,Y,Y,Y,Y,Y,PN,Y,Y,PY,PN,PY,Y,PY,Y,Low,Low,Low,High,Low,Low,Low,High,Low,"PMID 39060962 Wu mastitis: only 50 MM events vs high-dim feature space (D4.1=PN); univariate p<0.01 feature filter before LASSO (D4.5=PN); single-center, no external validation."
20,36879285,Differentiation of acute and chronic vertebral compression f...,PY,Y,Y,NI,Y,Y,PY,Y,Y,PY,Y,Y,Y,Y,PY,Y,PY,PN,Y,Y,Low,Unclear,Low,High,Low,Low,Low,High,Low,"PMID 36879285 Zhang VCF: no calibration curves (D4.7=PN); CT-segmenter blinding to MRI-derived outcome not stated (D2.2=NI); single-center, no external validation."
21,37444526,Novel Multiparametric Magnetic Resonance Imaging-Based Deep ...,Y,Y,Y,PY,Y,Y,Y,Y,Y,Y,PY,PY,Y,Y,PN,Y,Y,N,PY,Y,Low,Low,Low,High,Low,Low,Low,High,Low,Lee 2023 PCa BCR: single-center retrospective; no calibration metrics reported (only C-index/iAUC/HR) (D4.7=N); no external validation; 5-fold CV only; listwise deletion of missing clinical data (D4.4=PN); median FU 61mo for 'long-term' endpoint; DL trained as binary BCR classifier then intermediate features fed to Cox-LASSO.
