PMID,Title,Year,AI_Verdict,AI_Reason,AI_Confidence,Human_Verdict,Human_Reason,Agreement,Final_Verdict,Modality,Notes
40037925,Transfer learning radiomic model predicts intratumoral tertiary lymphoid structures in hepatocellular carcinoma: a multicenter study.,2025,MAYBE,Transfer learning radiomic model likely fuses DL + radiomics; pretrained foundation model not specified and separate arms unclear from abstract.,MED,,,,,,
41324013,A non-invasive MRI-based multimodal fusion deep learning model (MF-DLM) for predicting overall survival in bladder cancer: a multicentre retrospective study.,2025,EXCLUDE,"Multimodal fusion deep learning model integrates DL + radiomics + clinical via cross-attention; fusion-only, no head-to-head paradigm comparison reported.",HIGH,,,,,,
39003228,Preoperative Contrast-Enhanced CT-Based Deep Learning Radiomics Model for Distinguishing Retroperitoneal Lipomas and Well‑Differentiated Liposarcomas.,2024,MAYBE,Reports separate radiomics signature AUC but DL arm is itself a DL-radiomics fusion (DLRS); pretrained foundation model identity unclear.,MED,,,,,,
38606087,Exploring deep learning radiomics for classifying osteoporotic vertebral fractures in X-ray images.,2024,MAYBE,"Uses RadImageNet (qualifying FM) + radiomics, but final models are DTL-radiomics fusion features; separate paradigm arms not clearly reported.",MED,,,,,,
40360672,An MRI-based deep transfer learning radiomics nomogram for predicting meningioma grade.,2025,MAYBE,"Reports separate radiomics, DTL, and clinical model performances but pretrained foundation model identity not specified (generic 'deep transfer learning').",MED,,,,,,
36819269,Deep learning attention-guided radiomics for COVID-19 chest radiograph classification.,2023,EXCLUDE,Custom deformable CNN (not a qualifying large-scale pretrained foundation model) with fusion-only comparison against DLR-only; no standalone radiomics arm.,HIGH,,,,,,
39915711,Integrating manual annotation with deep transfer learning and radiomics for vertebral fracture analysis.,2025,MAYBE,"Reports separate radiomics LR and DTL arms on same cohort with AUCs, but pretrained foundation model identity not specified.",MED,,,,,,
40815256,Ultrasonic Texture Analysis for Predicting Acute Myocardial Infarction.,2025,MAYBE,"Head-to-head handcrafted ultrasomics vs deep transfer learning features with separate AUCs, but pretrained foundation model identity and texture-feature families not specified in abstract.",MED,,,,,,
35732167,Self-supervised learning for multi-center magnetic resonance imaging harmonization without traveling phantoms.,2022,EXCLUDE,"Study is on MRI harmonization via self-supervised cycleGAN, not a paradigm comparison of FM embeddings vs handcrafted radiomics for a prediction task.",HIGH,,,,,,
40391614,A 3D deep learning model based on MRI for predicting lymphovascular invasion in rectal cancer.,2025,EXCLUDE,Only deep learning (3D DenseNet121) arm; no handcrafted radiomics comparator.,HIGH,,,,,,
