Stage,PMID,Primary_Category,FM_Named,Texture,Per_Arm,Modality
Stage 2,35923378,No qualifying pretrained foundation model (custom architecture or unnamed pretraining),FAIL-NO NAMED PRETRAINED FOUNDATION MODE,THE PYRADIOMICS PACKAGE WAS UT,PASS - SEPARATE AREA UNDER THE,PASS - THE STUDY EVA
Stage 2,36409398,No qualifying pretrained foundation model (custom architecture or unnamed pretraining),FAIL - VGG11 WAS USED AS THE BACKBONE NE,UNCLEAR - PYRADIOMICS WAS USED,PASS - SEPARATE DISCRIMINATION, PASS - THE STUDY EV
Stage 2,37238180,No qualifying pretrained foundation model (custom architecture or unnamed pretraining),FAIL - NO PRETRAINED FOUNDATION MODEL OR,PASS - THE STUDY UTILIZED THE ,PASS - SEPARATE DIAGNOSTIC CLA,THE STUDY EVALUATED 
Stage 2,37922655,No qualifying pretrained foundation model (custom architecture or unnamed pretraining),FAIL-NO PRETRAINED FOUNDATION MODEL OR I,PASS - THE PYRADIOMICS PACKAGE,PASS - SEPARATE DISCRIMINATION,PASS - THE STUDY EVA
Stage 2,37953910,Other (protocol-nuance reasons),"MED3D. SECTION 2.2 ""METHODS"" (PAGE 2): ""","PYRADIOMICS. SECTION 2.2.1 ""LU","PASS - TABLE 8 ""THE MLP CLASSI",ASS - MODALITY: COMP
Stage 2,37993801,No qualifying pretrained foundation model (custom architecture or unnamed pretraining),"AIL - CUSTOM AUTOENCODER. SECTION ""DEEP ","PASS - PYRADIOMICS. SECTION ""R","TABLE 2 ""CLASSIFICATION PERFOR",PASS - MODALITY: MAG
Stage 2,38606087,Fusion-only without arm-specific performance reporting,PASS - RESNET-50 PRETRAINED ON RADIMAGEN,FAIL - UNSPECIFIED RADIOMICS P,FAIL - NO SEPARATE METRICS REP,"PASS - X-RAY, 2024. "
Stage 2,39003228,Fusion-only without arm-specific performance reporting,PASS - RESNET50 (IMAGENET-SUPERVISED LOW,"PASS - PYRADIOMICS. SECTION ""R",FAIL - NO SEPARATE DEEP LEARNI,: PASS - CONTRAST-EN
Stage 2,39457657,First-order radiomics only (no texture-feature family),PASS - RESNET-18 PRETRAINED ON IMAGENET ,FAIL - NO STANDARDIZED RADIOMI,"PASS - TABLE 5 ""THE PERFORMANC",PASS - MODALITY: PEL
Stage 2,39520166,First-order radiomics only (no texture-feature family),"PASS - XCEPTION, VGG-16, INCEPTION-V3, D",FAIL - UNSPECIFIED HANDCRAFTED,"PASS - TABLE 3 ""PERFORMANCE OF","PASS - CHEST X-RAY, "
Stage 2,39809603,No qualifying pretrained foundation model (custom architecture or unnamed pretraining),"FAIL - 3D RESNET50. SECTION ""MATERIALS A",UNCLEAR - PYRADIOMICS (VERSION,"PASS - TABLE 2 ""PERFORMANCE EV",PASS - PELVIC MRI (T
Stage 2,40360672,First-order radiomics only (no texture-feature family),PASS - RESNET50 (IMAGENET-SUPERVISED LOW,FAIL - UNSPECIFIED RADIOMICS P,"TABLE 3 ""THE RESULTS OF CLINIC",PASS - BRAIN T1-WEIG
Stage 2,40804402,No qualifying pretrained foundation model (custom architecture or unnamed pretraining),FAIL - 3D DENSENET-121 (NO PRETRAINING).,PASS - PYRADIOMICS EXTRACTING ,PASS - SEPARATE C-INDEX METRIC,PASS - $^{18}\TEXT{F
Stage 3,41253608,Fusion-only without arm-specific performance reporting,PASS - RESNET50 INITIALIZED WITH IMAGENE,UNCLEAR - PYRADIOMICS IS NAMED,FAIL - SEPARATE PROGNOSTIC DIS,PASS - HUMAN MULTIPA
Stage 3,42122083,First-order radiomics only (no texture-feature family),PASS - CLIP VISUAL ENCODER (VIT-B/32 VAR,FAIL - CUSTOM DDP FEATURE EXTR,PASS - SEPARATE DISCRIMINATION,PASS - HUMAN MULTIPA
Stage 3,39881111,Other (protocol-nuance reasons),PASS - VIT (VISION TRANSFORMER) AND VGG1,PASS - PYRADIOMICS EXTRACTING ,PASS - SEPARATE DISCRIMINATION,PASS - HUMAN CONTRAS
Stage 3,40183953,No qualifying pretrained foundation model (custom architecture or unnamed pretraining),FAIL - RESNET50 (NO NAMED PRETRAINED FOU,PASS - PYRADIOMICS (EXTRACTING,FAIL - NO DEEP LEARNING-ONLY (,PASS - 18F-PSMA PET/
Stage 3,40377781,No qualifying pretrained foundation model (custom architecture or unnamed pretraining),FAIL - RESNET-50 (NO NAMED PRETRAINED FO,UNCLEAR - PYRADIOMICS (VERSION,PASS - SEPARATE DISCRIMINATION,PASS - HUMAN PELVIC 
Stage 3,40882615,Fusion-only without arm-specific performance reporting,PASS - RESNET-50 PRETRAINED ON RADIMAGEN,PASS - PYRADIOMICS EXTRACTING ,FAIL - STANDALONE DEEP LEARNIN,PASS - COMPUTED TOMO
Stage 3,40917929,Fusion-only without arm-specific performance reporting,PASS - RESNET-50 (IMAGENET-PRETRAINED LO,UNCLEAR - PYRADIOMICS (VERSION,FAIL - NO DEEP LEARNING-ONLY (,PASS - HUMAN COMPUTE
Stage 3,41219899,Fusion-only without arm-specific performance reporting,UNCLEAR - 3D-RESNET-18 (PRE-TRAINED MODE,PASS - PYRADIOMICS EXTRACTING ,FAIL - NO DEEP LEARNING-ONLY (,PASS - HUMAN DYNAMIC
Stage 3,37775450,No qualifying pretrained foundation model (custom architecture or unnamed pretraining),FAIL - UCTRANSNET (NO PRETRAINING ON IMA,UNCLEAR - PYRADIOMICS IS NAMED,FAIL - NO DEEP LEARNING-ONLY O,PASS - HUMAN COMPUTE
Stage 3,38016821,Fusion-only without arm-specific performance reporting,PASS - RESNET-50 PRETRAINED ON RADIMAGEN,PASS - PYRADIOMICS EXTRACTING ,FAIL - NO INDEPENDENT DEEP LEA,PASS - HUMAN X-RAY R
Stage 3,38304572,No qualifying pretrained foundation model (custom architecture or unnamed pretraining),FAIL - RESNET-101 / DENSENET-101 (PRETRA,PASS - PYRADIOMICS EXTRACTING ,PASS - SEPARATE DISCRIMINATION,PASS - HUMAN PET/CT 
Stage 3,38438336,No qualifying pretrained foundation model (custom architecture or unnamed pretraining), FAIL - 3D DENSENET (NO PRETRAINING). TH,PASS - PYRADIOMICS EXTRACTING ,PASS - SEPARATE TEST SET DISCR, PASS - HUMAN CLINIC
Stage 3,38627828,Fusion-only without arm-specific performance reporting,PASS - RESNET-18 INITIALIZED WITH IMAGEN,PASS - PYRADIOMICS (PYRADIOMIC,FAIL - NO STANDALONE DEEP LEAR,PASS - CONTRAST-ENHA
Stage 3,38693026,No qualifying pretrained foundation model (custom architecture or unnamed pretraining),FAIL - UNNAMED PRETRAINED DEEP LEARNING ,PASS - PYRADIOMICS EXTRACTING , PASS - SEPARATE DISCRIMINATIO,PASS - SINGLE-SOURCE
Stage 3,38807039,First-order radiomics only (no texture-feature family),PASS - 3D RESNET50 PRE-TRAINED ON MEDICA,FAIL - NEITHER THE EXTRACTION ,PASS - SEPARATE DISCRIMINATION,PASS - HUMAN PREOPER
